id,policy_id,region_id,season_type,original_name,standard_category,start_time,end_time,price,float_ratio,user_type,voltage_level,data_type
76,1,1,全年,高峰,高峰,10:00,12:00,1.105,1.7,工商业,全省统一,real
77,1,1,全年,高峰,高峰,14:00,19:00,1.105,1.7,工商业,全省统一,real
78,1,1,全年,平段,平段,12:00,14:00,0.65,1,工商业,全省统一,real
79,1,1,全年,平段,平段,19:00,24:00,0.65,1,工商业,全省统一,real
80,1,1,全年,低谷,低谷,00:00,08:00,0.247,0.38,工商业,全省统一,real
81,1,1,全年,平段,平段,08:00,10:00,0.65,1,工商业,全省统一,real
82,2,2,夏冬季,尖峰,尖峰,14:00,15:00,,1.8,工业(315kVA及以上),1-10(20)kV及以上,real
83,2,2,夏冬季,尖峰,尖峰,19:30,21:30,,1.8,工业(315kVA及以上),1-10(20)kV及以上,real
84,2,2,夏冬季,峰段,高峰,14:00,22:00,,1.8,工商业-两部制,1-10(20)kV及以上,real
85,2,2,夏冬季,平段,平段,06:00,11:00,,1,工商业-两部制,1-10(20)kV及以上,real
86,2,2,夏冬季,平段,平段,13:00,14:00,,1,工商业-两部制,1-10(20)kV及以上,real
87,2,2,夏冬季,平段,平段,22:00,24:00,,1,工商业-两部制,1-10(20)kV及以上,real
88,2,2,夏冬季,谷段,低谷,00:00,06:00,,0.35,工商业-两部制,1-10(20)kV及以上,real
89,2,2,夏冬季,谷段,低谷,11:00,13:00,,0.35,工商业-两部制,1-10(20)kV及以上,real
90,3,2,春秋季,峰段,高峰,15:00,22:00,,1.8,工商业-两部制,1-10(20)kV及以上,real
91,3,2,春秋季,平段,平段,06:00,10:00,,1,工商业-两部制,1-10(20)kV及以上,real
92,3,2,春秋季,平段,平段,14:00,15:00,,1,工商业-两部制,1-10(20)kV及以上,real
93,3,2,春秋季,平段,平段,22:00,02:00,,1,工商业-两部制,1-10(20)kV及以上,real
94,3,2,春秋季,谷段,低谷,02:00,06:00,,0.35,工商业-两部制,1-10(20)kV及以上,real
95,3,2,春秋季,谷段,低谷,10:00,14:00,,0.35,工商业-两部制,1-10(20)kV及以上,real
96,5,3,1-2月/12月,深谷,深谷,11:00,14:00,0.071,0.1,工商业,全省统一,real
97,5,3,1-2月/12月,低谷,低谷,02:00,06:00,0.213,0.3,工商业,全省统一,real
98,5,3,1-2月/12月,低谷,低谷,10:00,11:00,0.213,0.3,工商业,全省统一,real
99,5,3,1-2月/12月,低谷,低谷,14:00,15:00,0.213,0.3,工商业,全省统一,real
100,5,3,1-2月/12月,高峰,高峰,07:00,09:00,1.207,1.7,工商业,全省统一,real
101,5,3,1-2月/12月,尖峰,尖峰,16:00,19:00,1.42,2,工商业,全省统一,real
102,5,3,1-2月/12月,高峰,高峰,19:00,21:00,1.207,1.7,工商业,全省统一,real
103,5,3,1-2月/12月,平段,平段,00:00,02:00,0.71,1,工商业,全省统一,real
104,5,3,1-2月/12月,平段,平段,06:00,07:00,0.71,1,工商业,全省统一,real
105,5,3,1-2月/12月,平段,平段,09:00,10:00,0.71,1,工商业,全省统一,real
106,5,3,1-2月/12月,平段,平段,15:00,16:00,0.71,1,工商业,全省统一,real
107,5,3,1-2月/12月,平段,平段,21:00,24:00,0.71,1,工商业,全省统一,real
108,6,3,3-5月,深谷,深谷,11:00,14:00,0.071,0.1,工商业,全省统一,real
109,6,3,3-5月,低谷,低谷,10:00,11:00,0.213,0.3,工商业,全省统一,real
110,6,3,3-5月,低谷,低谷,14:00,15:00,0.213,0.3,工商业,全省统一,real
111,6,3,3-5月,尖峰,尖峰,17:00,20:00,1.42,2,工商业,全省统一,real
112,6,3,3-5月,高峰,高峰,20:00,22:00,1.207,1.7,工商业,全省统一,real
113,6,3,3-5月,平段,平段,00:00,10:00,0.71,1,工商业,全省统一,real
114,6,3,3-5月,平段,平段,15:00,17:00,0.71,1,工商业,全省统一,real
115,6,3,3-5月,平段,平段,22:00,24:00,0.71,1,工商业,全省统一,real
116,8,3,7-8月,低谷,低谷,01:00,06:00,0.213,0.3,工商业,全省统一,real
117,8,3,7-8月,尖峰,尖峰,17:00,22:00,1.42,2,工商业,全省统一,real
118,8,3,7-8月,高峰,高峰,16:00,17:00,1.207,1.7,工商业,全省统一,real
119,8,3,7-8月,高峰,高峰,22:00,23:00,1.207,1.7,工商业,全省统一,real
120,8,3,7-8月,平段,平段,00:00,01:00,0.71,1,工商业,全省统一,real
121,8,3,7-8月,平段,平段,06:00,16:00,0.71,1,工商业,全省统一,real
122,8,3,7-8月,平段,平段,23:00,24:00,0.71,1,工商业,全省统一,real
123,10,4,春秋季,高峰,高峰,08:00,11:00,1.155,1.65,大工业,1-10(20)kV及以上,real
124,10,4,春秋季,高峰,高峰,13:00,17:00,1.155,1.65,大工业,1-10(20)kV及以上,real
125,10,4,春秋季,平段,平段,17:00,24:00,0.7,1,大工业,1-10(20)kV及以上,real
