period_id,policy_id,region_id,season_type,std_category,original_name,start_time,end_time,price,source_id,notes
GD_P1,GD_COMM_1,GD,全年,尖峰,尖峰,11:00,12:00,0.9626,GD_2021_331,仅7-9月且当日最高气温≥35℃时执行
GD_P2,GD_COMM_1,GD,全年,尖峰,尖峰,15:00,17:00,0.9626,GD_2021_331,仅7-9月且当日最高气温≥35℃时执行
GD_P3,GD_COMM_1,GD,全年,峰,高峰,10:00,11:00,0.7701,GD_2021_331,
GD_P4,GD_COMM_1,GD,全年,峰,高峰,12:00,14:00,0.7701,GD_2021_331,
GD_P5,GD_COMM_1,GD,全年,峰,高峰,14:00,15:00,0.7701,GD_2021_331,
GD_P6,GD_COMM_1,GD,全年,峰,高峰,17:00,19:00,0.7701,GD_2021_331,19:00结束
GD_P7,GD_COMM_1,GD,全年,平,平段,8:00,10:00,0.4530,GD_2021_331,
GD_P8,GD_COMM_1,GD,全年,平,平段,19:00,24:00,0.4530,GD_2021_331,
GD_P9,GD_COMM_1,GD,全年,谷,低谷,0:00,8:00,0.1721,GD_2021_331,
JS_P1,JS_COMM_1,JS,全年,峰,高峰,8:00,11:00,1.2000,JS_2025_0601,
JS_P2,JS_COMM_1,JS,全年,峰,高峰,17:00,22:00,1.2000,JS_2025_0601,
JS_P3,JS_COMM_1,JS,全年,平,平时段,11:00,17:00,0.8000,JS_2025_0601,
JS_P4,JS_COMM_1,JS,全年,平,平时段,22:00,24:00,0.8000,JS_2025_0601,
JS_P5,JS_COMM_1,JS,全年,谷,低谷,0:00,8:00,0.4000,JS_2025_0601,
JS_P6,JS_COMM_1,JS,夏季,谷,夏季午间谷电,12:00,14:00,0.2800,JS_2025_0601,夏季6-8月中午12-14点执行谷电 下浮65%
JS_P7,JS_COMM_1,JS,夏季,谷,夏季午间谷电,14:00,16:00,0.2800,JS_2025_0601,夏季6-8月中午14-16点执行谷电 下浮65%
JS_P8,JS_RES_1,JS,全年,峰,峰时段,8:00,21:00,0.5583,JS_2025_1008,居民峰谷分时
JS_P9,JS_RES_1,JS,全年,谷,谷时段,21:00,8:00,0.3583,JS_2025_1008,居民峰谷分时 跨夜
SD_P1,SD_COMM_1,SD,1-2月/12月,尖峰,尖峰,16:00,19:00,1.3118,SD_2026_公告,冬季尖峰时段
SD_P2,SD_COMM_1,SD,1-2月/12月,峰,高峰,7:00,9:00,1.1150,SD_2026_公告,
SD_P3,SD_COMM_1,SD,1-2月/12月,峰,高峰,19:00,21:00,1.1150,SD_2026_公告,
SD_P4,SD_COMM_1,SD,1-2月/12月,平,平时段,0:00,2:00,0.6559,SD_2026_公告,凌晨平段
SD_P5,SD_COMM_1,SD,1-2月/12月,谷,低谷,2:00,6:00,0.1968,SD_2026_公告,
