province,city,region,user_type,voltage_level,season,period_name,standard_category,start_time,end_time,price,unit,effective_date,source_id,remark
广东,珠三角五市,广州/珠海/佛山/中山/东莞,一般工商业,不满1千伏,全年,高峰,高峰,10:00,12:00,1.2919,元/kWh,2026-01-01,GD-001,
广东,珠三角五市,广州/珠海/佛山/中山/东莞,一般工商业,不满1千伏,全年,高峰,高峰,14:00,19:00,1.2919,元/kWh,2026-01-01,GD-001,
广东,珠三角五市,广州/珠海/佛山/中山/东莞,一般工商业,不满1千伏,全年,平段,平段,00:00,01:00,0.7600,元/kWh,2026-01-01,GD-001,
广东,珠三角五市,广州/珠海/佛山/中山/东莞,一般工商业,不满1千伏,全年,平段,平段,08:00,10:00,0.7600,元/kWh,2026-01-01,GD-001,
广东,珠三角五市,广州/珠海/佛山/中山/东莞,一般工商业,不满1千伏,全年,平段,平段,12:00,14:00,0.7600,元/kWh,2026-01-01,GD-001,
广东,珠三角五市,广州/珠海/佛山/中山/东莞,一般工商业,不满1千伏,全年,平段,平段,19:00,24:00,0.7600,元/kWh,2026-01-01,GD-001,
广东,珠三角五市,广州/珠海/佛山/中山/东莞,一般工商业,不满1千伏,全年,低谷,低谷,01:00,08:00,0.2888,元/kWh,2026-01-01,GD-001,
广东,珠三角五市,广州/珠海/佛山/中山/东莞,一般工商业,不满1千伏,全年,低谷,低谷,12:00,13:00,0.2888,元/kWh,2026-01-01,GD-001,
广东,珠三角五市,广州/珠海/佛山/中山/东莞,一般工商业,不满1千伏,高温日(≥35℃),尖峰,尖峰,10:00,12:00,1.6079,元/kWh,2026-01-01,GD-001,高温日尖峰在高峰基础上上浮25%
广东,珠三角五市,广州/珠海/佛山/中山/东莞,一般工商业,不满1千伏,高温日(≥35℃),尖峰,尖峰,14:00,19:00,1.6079,元/kWh,2026-01-01,GD-001,高温日尖峰在高峰基础上上浮25%
