province,city,region,user_type,voltage_level,season,period_name,standard_category,start_time,end_time,price,unit,effective_date,source_id,remark
内蒙古,蒙西,呼和浩特/包头等,工商业,1-10千伏,全年,高峰,高峰,17:00,21:00,0.8410,元/kWh,2026-01-01,NM-001,高峰上浮60%;基准价约0.5256元/kWh
内蒙古,蒙西,呼和浩特/包头等,工商业,1-10千伏,全年,平段,平段,21:00,24:00,0.5256,元/kWh,2026-01-01,NM-001,暂按蒙西电网代理购电价格估算
内蒙古,蒙西,呼和浩特/包头等,工商业,1-10千伏,全年,平段,平段,00:00,06:00,0.5256,元/kWh,2026-01-01,NM-001,
内蒙古,蒙西,呼和浩特/包头等,工商业,1-10千伏,全年,平段,平段,09:00,17:00,0.5256,元/kWh,2026-01-01,NM-001,
内蒙古,蒙西,呼和浩特/包头等,工商业,1-10千伏,全年,低谷,低谷,06:00,09:00,0.2628,元/kWh,2026-01-01,NM-001,低谷下浮50%
内蒙古,蒙东,赤峰/通辽/呼伦贝尔等,工商业,1-10千伏,全年,高峰,高峰,17:00,21:00,0.8239,元/kWh,2026-01-01,NM-002,暂按蒙东电网数据;具体以国网蒙东电力公告为准
内蒙古,蒙东,赤峰/通辽/呼伦贝尔等,工商业,1-10千伏,全年,平段,平段,21:00,24:00,0.5149,元/kWh,2026-01-01,NM-002,
内蒙古,蒙东,赤峰/通辽/呼伦贝尔等,工商业,1-10千伏,全年,平段,平段,00:00,06:00,0.5149,元/kWh,2026-01-01,NM-002,
内蒙古,蒙东,赤峰/通辽/呼伦贝尔等,工商业,1-10千伏,全年,平段,平段,09:00,17:00,0.5149,元/kWh,2026-01-01,NM-002,
内蒙古,蒙东,赤峰/通辽/呼伦贝尔等,工商业,1-10千伏,全年,低谷,低谷,06:00,09:00,0.2575,元/kWh,2026-01-01,NM-002,
