region_id,province,city,district,region_type,region_level,province_code
GD,广东,,,province,1,440000
GD_GZ,广东,广州,,city,2,440100
GD_SZ,广东,深圳,,city,2,440300
GD_ZH,广东,珠海,,city,2,440400
GD_FS,广东,佛山,,city,2,440600
JS,江苏,,,province,1,320000
JS_NJ,江苏,南京,,city,2,320100
JS_SZ,江苏,苏州,,city,2,320500
JS_WX,江苏,无锡,,city,2,320200
JS_CZ,江苏,常州,,city,2,320400
SD,山东,,,province,1,370000
SD_JN,山东,济南,,city,2,370100
SD_QD,山东,青岛,,city,2,370200
SD_YT,山东,烟台,,city,2,370600
SD_WF,山东,潍坊,,city,2,370700
ZJ,浙江,,,province,1,330000
ZJ_HZ,浙江,杭州,,city,2,330100
ZJ_NB,浙江,宁波,,city,2,330200
ZJ_WZ,浙江,温州,,city,2,330300
ZJ_JX,浙江,嘉兴,,city,2,330400
NM,内蒙古,,,province,1,150000
NM_HHHT,内蒙古,呼和浩特,,city,2,150100
NM_BT,内蒙古,包头,,city,2,150200
NM_CF,内蒙古,赤峰,,city,2,150400
NM_EL,内蒙古,鄂尔多斯,,city,2,150600
