province,city,region,user_type,voltage_level,season,period_name,standard_category,start_time,end_time,price,unit,effective_date,source_id,remark
江苏,全省,全省,大工业,1-10千伏,非夏季非冬季,高峰,高峰,08:00,12:00,1.0697,元/kWh,2026-01-01,JS-001,基准价约0.6292元/kWh上浮70%
江苏,全省,全省,大工业,1-10千伏,非夏季非冬季,高峰,高峰,17:00,21:00,1.0697,元/kWh,2026-01-01,JS-001,基准价约0.6292元/kWh上浮70%
江苏,全省,全省,大工业,1-10千伏,非夏季非冬季,平段,平段,12:00,17:00,0.6292,元/kWh,2026-01-01,JS-001,
江苏,全省,全省,大工业,1-10千伏,非夏季非冬季,平段,平段,21:00,24:00,0.6292,元/kWh,2026-01-01,JS-001,
江苏,全省,全省,大工业,1-10千伏,非夏季非冬季,低谷,低谷,00:00,08:00,0.3146,元/kWh,2026-01-01,JS-001,基准价下浮50%
江苏,全省,全省,大工业,1-10千伏,夏季(6-8月),高峰,高峰,08:00,12:00,1.0697,元/kWh,2026-06-01,JS-002,夏季尖峰时段另行计算
江苏,全省,全省,大工业,1-10千伏,夏季(6-8月),高峰,高峰,17:00,21:00,1.0697,元/kWh,2026-06-01,JS-002,
江苏,全省,全省,大工业,1-10千伏,夏季(6-8月),平段,平段,12:00,17:00,0.6292,元/kWh,2026-06-01,JS-002,
江苏,全省,全省,大工业,1-10千伏,夏季(6-8月),平段,平段,21:00,24:00,0.6292,元/kWh,2026-06-01,JS-002,
江苏,全省,全省,大工业,1-10千伏,夏季(6-8月),低谷,低谷,00:00,08:00,0.3146,元/kWh,2026-06-01,JS-002,
江苏,全省,全省,大工业,1-10千伏,冬季(12-2月),高峰,高峰,08:00,12:00,1.0697,元/kWh,2026-12-01,JS-003,
江苏,全省,全省,大工业,1-10千伏,冬季(12-2月),高峰,高峰,17:00,21:00,1.0697,元/kWh,2026-12-01,JS-003,
江苏,全省,全省,大工业,1-10千伏,冬季(12-2月),平段,平段,12:00,17:00,0.6292,元/kWh,2026-12-01,JS-003,
江苏,全省,全省,大工业,1-10千伏,冬季(12-2月),平段,平段,21:00,24:00,0.6292,元/kWh,2026-12-01,JS-003,
江苏,全省,全省,大工业,1-10千伏,冬季(12-2月),低谷,低谷,00:00,08:00,0.3146,元/kWh,2026-12-01,JS-003,
