province,city,region,user_type,voltage_level,season,period_name,standard_category,start_time,end_time,price,unit,effective_date,source_id,remark
山东,全省,全省,工商业,1-10千伏,1-2月,尖峰,尖峰,16:00,19:00,1.1286,元/kWh,2026-01-01,SD-001,高峰上浮100%;基准价约0.5643元/kWh
山东,全省,全省,工商业,1-10千伏,1-2月,高峰,高峰,07:00,09:00,0.9593,元/kWh,2026-01-01,SD-001,高峰上浮70%
山东,全省,全省,工商业,1-10千伏,1-2月,高峰,高峰,16:00,21:00,0.9593,元/kWh,2026-01-01,SD-001,高峰上浮70%(不含尖峰覆盖时段)
山东,全省,全省,工商业,1-10千伏,1-2月,平段,平段,09:00,10:00,0.5643,元/kWh,2026-01-01,SD-001,
山东,全省,全省,工商业,1-10千伏,1-2月,平段,平段,15:00,16:00,0.5643,元/kWh,2026-01-01,SD-001,
山东,全省,全省,工商业,1-10千伏,1-2月,平段,平段,21:00,24:00,0.5643,元/kWh,2026-01-01,SD-001,
山东,全省,全省,工商业,1-10千伏,1-2月,低谷,低谷,02:00,06:00,0.1693,元/kWh,2026-01-01,SD-001,低谷下浮70%
山东,全省,全省,工商业,1-10千伏,1-2月,低谷,低谷,10:00,15:00,0.1693,元/kWh,2026-01-01,SD-001,低谷下浮70%(含深谷时段)
山东,全省,全省,工商业,1-10千伏,1-2月,深谷,深谷,11:00,14:00,0.0564,元/kWh,2026-01-01,SD-001,深谷下浮90%
山东,全省,全省,工商业,1-10千伏,3-5月,尖峰,尖峰,17:00,20:00,1.1286,元/kWh,2026-03-01,SD-001,
山东,全省,全省,工商业,1-10千伏,3-5月,高峰,高峰,17:00,22:00,0.9593,元/kWh,2026-03-01,SD-001,
山东,全省,全省,工商业,1-10千伏,3-5月,平段,平段,15:00,17:00,0.5643,元/kWh,2026-03-01,SD-001,
山东,全省,全省,工商业,1-10千伏,3-5月,平段,平段,22:00,24:00,0.5643,元/kWh,2026-03-01,SD-001,
山东,全省,全省,工商业,1-10千伏,3-5月,平段,平段,00:00,02:00,0.5643,元/kWh,2026-03-01,SD-001,
山东,全省,全省,工商业,1-10千伏,3-5月,低谷,低谷,10:00,15:00,0.1693,元/kWh,2026-03-01,SD-001,
山东,全省,全省,工商业,1-10千伏,3-5月,深谷,深谷,11:00,14:00,0.0564,元/kWh,2026-03-01,SD-001,
山东,全省,全省,工商业,1-10千伏,6月,尖峰,尖峰,17:00,22:00,1.1286,元/kWh,2026-06-01,SD-001,
山东,全省,全省,工商业,1-10千伏,6月,高峰,高峰,16:00,23:00,0.9593,元/kWh,2026-06-01,SD-001,
山东,全省,全省,工商业,1-10千伏,6月,平段,平段,12:00,16:00,0.5643,元/kWh,2026-06-01,SD-001,
山东,全省,全省,工商业,1-10千伏,6月,平段,平段,23:00,24:00,0.5643,元/kWh,2026-06-01,SD-001,
山东,全省,全省,工商业,1-10千伏,6月,平段,平段,00:00,01:00,0.5643,元/kWh,2026-06-01,SD-001,
山东,全省,全省,工商业,1-10千伏,6月,低谷,低谷,07:00,12:00,0.1693,元/kWh,2026-06-01,SD-001,
