id,province,url,publishing_org,publish_time,collection_time,reliability,remark
GD-001,广东,https://cwese.com/index.php?m=home&c=View&a=index&aid=1907,中关村储能产业技术联盟(CNESA),2026-06-01,2026-07-25,高,文章引用粤发改价格〔2021〕331号文件及最新代理购电价格
GD-002,广东,https://shupeidian.bjx.com.cn/html/20260527/1497308.shtml,北极星储能网,2026-05-27,2026-07-25,高,广东省发改委征求意见稿
JS-001,江苏,https://zhidao.baidu.com/question/1972487469184542860.html,百度知道(综合公开资料),2025-01-01,2026-07-25,中,时段划分与公开政策一致;具体价格需参考最新代理购电公告
JS-002,江苏,https://xueqiu.com/4276906001/392016408,雪球(投资者分析),2026-06-01,2026-07-25,中,基于江苏国网代理购电价格公告分析
JS-003,江苏,https://mbd.baidu.com/newspage/data/dtlandingsuper?nid=dt_4877570690037349510,百家号(政策解读),2026-01-01,2026-07-25,中,江苏省工业用电价格政策及分时电价详解
SD-001,山东,https://fgw.weihai.gov.cn/art/2026/6/22/art_53888_6433489.html,威海市发改委(山东省统一政策公示),2026-06-22,2026-07-25,高,山东省工商业分时电价政策官方解读
SD-002,山东,https://jndpc.jinan.gov.cn/col2191/art/2025/art_2191_4789557.html,济南市发改委,2025-12-01,2026-07-25,高,关于2026年工商业分时电价公告
ZJ-001,浙江,https://news.solarbe.com/202607/09/50025659.html,索比光伏网,2026-07-09,2026-07-25,高,基于浙江省发改委112号文;浮动比例2.05:1.85:1:0.4:0.2
ZJ-002,浙江,http://shupeidian.bjx.com.cn/html/20260601/1497884.shtml,北极星储能网,2026-06-01,2026-07-25,高,浙江分时电价新政解读
NM-001,内蒙古,https://mpower.in-en.com/html/power-2472491.shtml,国际能源网(转载内蒙古电力集团公告),2026-01-01,2026-07-25,中,蒙西电网代理购电价格公告
NM-002,内蒙古,https://gxj.xlgl.gov.cn/eportal/ui?articleKey=a1a0981eb9604f54a05162eaa62e1b54,锡林郭勒盟工信局,2026-01-01,2026-07-25,中,内蒙古电力集团代理购电价格公告
