province_id,user_type,voltage_level,season_type,period_name,standard_category,start_time,end_time,price_yuan_per_kwh,ratio_to_flat,source_id,notes
GD,一般工商业,10kV,夏季,高峰,峰,10:00,12:00,1.0985,1.70,SRC-GD-001,夏季5-10月
GD,一般工商业,10kV,夏季,平段,平,08:00,10:00,0.6462,1.00,SRC-GD-001,
GD,一般工商业,10kV,夏季,低谷,谷,22:00,08:00,0.2456,0.38,SRC-GD-001,
GD,一般工商业,10kV,夏季,高峰,峰,14:00,19:00,1.0985,1.70,SRC-GD-001,夏季5-10月
GD,一般工商业,10kV,夏季,平段,平,12:00,14:00,0.6462,1.00,SRC-GD-001,
GD,一般工商业,10kV,夏季,平段,平,19:00,22:00,0.6462,1.00,SRC-GD-001,
GD,一般工商业,10kV,非夏季,高峰,峰,16:00,19:00,1.0985,1.70,SRC-GD-001,非夏季11-4月
GD,一般工商业,10kV,非夏季,平段,平,08:00,16:00,0.6462,1.00,SRC-GD-001,
GD,一般工商业,10kV,非夏季,平段,平,19:00,22:00,0.6462,1.00,SRC-GD-001,
GD,一般工商业,10kV,非夏季,低谷,谷,22:00,08:00,0.2456,0.38,SRC-GD-001,
JS,一般工商业,10kV,通用,高峰,峰,08:00,12:00,1.0791,1.75,SRC-JS-002,
JS,一般工商业,10kV,通用,平段,平,12:00,17:00,0.6166,1.00,SRC-JS-002,
JS,一般工商业,10kV,通用,高峰,峰,17:00,21:00,1.0791,1.75,SRC-JS-002,
JS,一般工商业,10kV,通用,平段,平,21:00,24:00,0.6166,1.00,SRC-JS-002,
JS,一般工商业,10kV,通用,低谷,谷,00:00,08:00,0.3083,0.50,SRC-JS-002,
JS,一般工商业,10kV,夏季,尖峰,尖,14:00,15:00,1.2326,2.00,SRC-JS-002,夏季7-8月尖峰
SD,一般工商业,10kV,通用,高峰,峰,08:00,11:00,1.0239,1.75,SRC-SD-001,
SD,一般工商业,10kV,通用,平段,平,07:00,08:00,0.5851,1.00,SRC-SD-001,
SD,一般工商业,10kV,通用,高峰,峰,16:00,21:00,1.0239,1.75,SRC-SD-001,
SD,一般工商业,10kV,通用,平段,平,11:00,16:00,0.5851,1.00,SRC-SD-001,
SD,一般工商业,10kV,通用,平段,平,21:00,23:00,0.5851,1.00,SRC-SD-001,
SD,一般工商业,10kV,通用,低谷,谷,23:00,07:00,0.2926,0.50,SRC-SD-001,
SD,一般工商业,10kV,夏季,尖峰,尖,10:30,11:30,1.1698,2.00,SRC-SD-001,夏季6-8月
SD,一般工商业,10kV,夏季,尖峰,尖,19:00,21:00,1.1698,2.00,SRC-SD-001,夏季6-8月
SD,一般工商业,10kV,通用,深谷,深谷,11:00,14:00,0.2339,0.40,SRC-SD-001,新能源消纳时段
ZJ,一般工商业,10kV,通用,高峰,峰,08:00,11:00,1.1653,1.75,SRC-ZJ-001,
ZJ,一般工商业,10kV,通用,低谷,谷,11:00,13:00,0.2997,0.45,SRC-ZJ-001,
ZJ,一般工商业,10kV,通用,高峰,峰,13:00,19:00,1.1653,1.75,SRC-ZJ-001,
ZJ,一般工商业,10kV,通用,平段,平,19:00,21:00,0.6659,1.00,SRC-ZJ-001,
ZJ,一般工商业,10kV,通用,高峰,峰,21:00,22:00,1.1653,1.75,SRC-ZJ-001,
ZJ,一般工商业,10kV,通用,低谷,谷,22:00,08:00,0.2997,0.45,SRC-ZJ-001,
NM,一般工商业,10kV,通用,高峰,峰,08:00,11:00,0.7835,1.75,SRC-NM-001,蒙西电网
NM,一般工商业,10kV,通用,平段,平,11:00,12:00,0.4477,1.00,SRC-NM-001,
NM,一般工商业,10kV,通用,低谷,谷,12:00,15:00,0.2239,0.50,SRC-NM-001,蒙西深谷(新能源消纳)
NM,一般工商业,10kV,通用,平段,平,15:00,17:30,0.4477,1.00,SRC-NM-001,
NM,一般工商业,10kV,通用,高峰,峰,17:30,21:00,0.7835,1.75,SRC-NM-001,
NM,一般工商业,10kV,通用,平段,平,21:00,23:00,0.4477,1.00,SRC-NM-001,
NM,一般工商业,10kV,通用,低谷,谷,23:00,08:00,0.2239,0.50,SRC-NM-001,
