id,region_id,user_type,voltage_level,season_type,policy_title,policy_number,publish_date,effective_date,expiry_date,source_id,data_status,notes
1,1,大工业用电,10kV及以上,夏季,广东省关于2025年电力市场交易有关事项的通知,粤发改能源〔2024〕号,2024-11-22,2025-01-01,,1,confirmed,广东省工商业分时电价——夏季尖峰上浮25% 峰上浮17% 谷下浮45%
2,1,大工业用电,10kV及以上,春秋季,广东省关于2025年电力市场交易有关事项的通知,粤发改能源〔2024〕号,2024-11-22,2025-01-01,,1,confirmed,广东省工商业分时电价——春秋季无尖峰
3,1,大工业用电,10kV及以上,冬季,广东省关于2025年电力市场交易有关事项的通知,粤发改能源〔2024〕号,2024-11-22,2025-01-01,,1,confirmed,广东省工商业分时电价——冬季尖峰上浮25%
4,1,一般工商业用电,10kV及以上,夏季,广东省关于2025年电力市场交易有关事项的通知,粤发改能源〔2024〕号,2024-11-22,2025-01-01,,1,confirmed,广东省一般工商业分时电价
5,2,大工业用电,315kVA及以上,夏季,江苏省完善分时电价政策有关事项的通知,苏发改价格发〔2024〕574号,2024-05-22,2024-07-01,,2,confirmed,江苏省——7-8月尖峰上浮20% 峰上浮 平段基础
6,2,大工业用电,315kVA及以上,冬季,江苏省完善分时电价政策有关事项的通知,苏发改价格发〔2024〕574号,2024-05-22,2024-07-01,,2,confirmed,江苏省——12月-次年1月尖峰上浮20%
7,3,大工业用电,1-10kV及以上,全年,山东省2025年工商业分时电价公告,国网鲁电公告〔2024〕号,2024-12-01,2025-01-01,,3,confirmed,山东"五段式"分时电价——深谷下浮90%
8,3,一般工商业用电,1-10kV及以上,全年,山东省2025年工商业分时电价公告,国网鲁电公告〔2024〕号,2024-12-01,2025-01-01,,3,confirmed,山东一般工商业分时电价
9,3,居民用电,不满1kV,全年,山东"五段式"分时电价政策落地,鲁发改价格〔2025〕号,2025-04-15,2025-05-01,,4,confirmed,山东居民分时电价试点
10,4,大工业电价,10kV及以上,春秋季,浙江省调整工商业峰谷分时电价政策有关事项的通知,浙发改价格〔2024〕21号,2024-01-25,2024-03-01,,5,confirmed,浙江大工业——春秋季峰上浮65% 谷下浮55%
11,4,大工业电价,10kV及以上,夏冬季,浙江省调整工商业峰谷分时电价政策有关事项的通知,浙发改价格〔2024〕21号,2024-01-25,2024-03-01,,5,confirmed,浙江大工业——夏冬季尖峰上浮98% 深谷下浮80%
12,4,一般工商业电价,10kV及以上,春秋季,浙江省调整工商业峰谷分时电价政策有关事项的通知,浙发改价格〔2024〕21号,2024-01-25,2024-06-01,,5,confirmed,浙江一般工商业——春秋季
13,4,一般工商业电价,10kV及以上,夏冬季,浙江省调整工商业峰谷分时电价政策有关事项的通知,浙发改价格〔2024〕21号,2024-01-25,2024-06-01,,5,confirmed,浙江一般工商业——夏冬季尖峰上浮65%
14,5,大工业用电,10kV及以上,全年,内蒙古自治区完善蒙西电网工商业分时电价政策的通知（试行）,内发改价费〔2024〕号,2024-01-01,2024-01-01,,6,confirmed,蒙西电网——峰上浮48% 谷下浮44%
15,5,大工业用电,10kV及以上,全年,内蒙古自治区完善蒙东电网工商业分时电价政策的通知（试行）,内发改价费〔2024〕号,2024-01-01,2024-01-01,,7,confirmed,蒙东电网——峰上浮47% 谷下浮42%
