id,region_id,user_type,season_type,hour,standard_category,price_value,data_status
1,1,大工业用电,夏季,0,谷,0.3465,modeled
2,1,大工业用电,夏季,1,谷,0.3465,modeled
3,1,大工业用电,夏季,2,谷,0.3465,modeled
4,1,大工业用电,夏季,3,谷,0.3465,modeled
5,1,大工业用电,夏季,4,谷,0.3465,modeled
6,1,大工业用电,夏季,5,谷,0.3465,modeled
7,1,大工业用电,夏季,6,谷,0.3465,modeled
8,1,大工业用电,夏季,7,谷,0.3465,modeled
9,1,大工业用电,夏季,8,平,0.6300,estimated
10,1,大工业用电,夏季,9,平,0.6300,estimated
11,1,大工业用电,夏季,10,峰,0.7371,modeled
12,1,大工业用电,夏季,11,尖峰,0.9213,modeled
13,1,大工业用电,夏季,12,平,0.6300,estimated
14,1,大工业用电,夏季,13,平,0.6300,estimated
15,1,大工业用电,夏季,14,峰,0.7371,modeled
16,1,大工业用电,夏季,15,尖峰,0.9213,modeled
17,1,大工业用电,夏季,16,尖峰,0.9213,modeled
18,1,大工业用电,夏季,17,峰,0.7371,modeled
19,1,大工业用电,夏季,18,峰,0.7371,modeled
20,1,大工业用电,夏季,19,平,0.6300,estimated
21,1,大工业用电,夏季,20,平,0.6300,estimated
22,1,大工业用电,夏季,21,平,0.6300,estimated
23,1,大工业用电,夏季,22,平,0.6300,estimated
24,1,大工业用电,夏季,23,平,0.6300,estimated
25,2,大工业用电,夏季,0,谷,0.2835,modeled
26,2,大工业用电,夏季,1,谷,0.2835,modeled
27,2,大工业用电,夏季,2,谷,0.2835,modeled
28,2,大工业用电,夏季,3,谷,0.2835,modeled
29,2,大工业用电,夏季,4,谷,0.2835,modeled
30,2,大工业用电,夏季,5,谷,0.2835,modeled
31,2,大工业用电,夏季,6,谷,0.2835,modeled
32,2,大工业用电,夏季,7,谷,0.2835,modeled
33,2,大工业用电,夏季,8,峰,0.6300,estimated
34,2,大工业用电,夏季,9,峰,0.6300,estimated
35,2,大工业用电,夏季,10,峰,0.6300,estimated
36,2,大工业用电,夏季,11,平,0.6300,estimated
37,2,大工业用电,夏季,12,平,0.6300,estimated
38,2,大工业用电,夏季,13,平,0.6300,estimated
39,2,大工业用电,夏季,14,尖峰,0.7560,modeled
40,2,大工业用电,夏季,15,尖峰,0.7560,modeled
41,2,大工业用电,夏季,16,平,0.6300,estimated
42,2,大工业用电,夏季,17,平,0.6300,estimated
43,2,大工业用电,夏季,18,平,0.6300,estimated
44,2,大工业用电,夏季,19,平,0.6300,estimated
45,2,大工业用电,夏季,20,尖峰,0.7560,modeled
46,2,大工业用电,夏季,21,尖峰,0.7560,modeled
47,2,大工业用电,夏季,22,平,0.6300,estimated
48,2,大工业用电,夏季,23,平,0.6300,estimated
49,3,大工业用电,夏季,0,谷,0.2414,modeled
50,3,大工业用电,夏季,1,谷,0.2414,modeled
51,3,大工业用电,夏季,2,谷,0.2414,modeled
52,3,大工业用电,夏季,3,谷,0.2414,modeled
53,3,大工业用电,夏季,4,谷,0.2414,modeled
54,3,大工业用电,夏季,5,谷,0.2414,modeled
55,3,大工业用电,夏季,6,平,0.4827,estimated
56,3,大工业用电,夏季,7,平,0.4827,estimated
57,3,大工业用电,夏季,8,峰,0.7240,modeled
58,3,大工业用电,夏季,9,峰,0.7240,modeled
59,3,大工业用电,夏季,10,尖峰,0.9450,modeled
60,3,大工业用电,夏季,11,深谷,0.0483,modeled
61,3,大工业用电,夏季,12,深谷,0.0483,modeled
62,3,大工业用电,夏季,13,深谷,0.0483,modeled
