id,source_name,source_url,publish_org,publish_date,collect_date,reliability,notes
1,广东省2025年电力市场化交易通知,https://www.nengyuanjie.net/article/104436.html,广东省能源局,2024-11-22,2026-07-26,high,转载来源——广东省能源局官网通知
2,江苏省完善分时电价政策通知,http://fzggw.jiangsu.gov.cn/art/2024/6/9/art_84097_11276252.html,江苏省发展和改革委员会,2024-05-22,2026-07-26,high,官方政策文件 苏发改价格发〔2024〕574号
3,国网山东电力工商业分时电价公告,https://news.bjx.com.cn/html/20250303/1429732.shtml,国网山东省电力公司,2024-12-01,2026-07-26,high,国网山东电力官方公告
4,山东"五段式"分时电价政策落地,http://fgw.shandong.gov.cn/art/2025/4/17/art_91548_10464453.html,山东省发展和改革委员会,2025-04-15,2026-07-26,high,山东省发改委官方解读
5,浙江省调整工商业峰谷分时电价通知,https://www.zj.gov.cn/art/2024/1/29/art_1229203589_2511401.html,浙江省发展和改革委员会,2024-01-25,2026-07-26,high,官方政策文件 浙发改价格〔2024〕21号
6,内蒙古蒙西电网工商业分时电价通知（试行）,https://fgw.xlgl.gov.cn/eportal/ui?pageId=8d86bd8f31334bc088d1498b0aee7af0&articleKey=b914ab40c1234791a005890a5d9dd255&columnId=b2ab5d5766e142df9562c740aebc9838,内蒙古自治区发展和改革委员会,2024-01-01,2026-07-26,high,蒙西电网政策
7,内蒙古蒙东电网工商业分时电价通知（试行）,https://www.nmgxny.com/policy/1445.html,内蒙古自治区发展和改革委员会,2024-01-01,2026-07-26,high,蒙东电网政策——转载来源
8,广东东莞市完善峰谷分时电价政策通知,https://dgdp.dg.gov.cn/gkmlpt/content/4/4385/mpost_4385587.html,东莞市发展和改革局,2021-08-31,2026-07-26,high,地市级政策参考
9,盘点2025全国新版工商业用户分时电价全景图,https://news.bjx.com.cn/html/20260122/1480756-1.shtml,北极星售电网,2026-01-22,2026-07-26,medium,行业媒体综合盘点——非原始来源但覆盖全面
10,山东居民分时电价试点居民用电信息,https://sdxw.iqilu.com/w/article/YS0yMS0xNjM5NTQzMA.html,齐鲁网,2025-04-17,2026-07-26,medium,媒体报道——居民分时电价试点
