id,province_id,type_id,season,original_period_name,standard_category,start_time,end_time,price_yuan_per_kwh,effective_date,expiry_date,source_id,notes
1,gd,gd_gs_1,summer,尖峰,尖峰,11:00,12:00,1.1739,2024-07-01,2025-12-31,src-gd-001,广东省夏季尖峰电价（7-9月）
2,gd,gd_gs_1,summer,尖峰,尖峰,15:00,17:00,1.1739,2024-07-01,2025-12-31,src-gd-001,广东省夏季尖峰电价（7-9月）
3,gd,gd_gs_1,summer,高峰,高峰,10:00,11:00,1.0361,2024-07-01,2025-12-31,src-gd-001,广东省夏季高峰电价
4,gd,gd_gs_1,summer,高峰,高峰,14:00,15:00,1.0361,2024-07-01,2025-12-31,src-gd-001,广东省夏季高峰电价
5,gd,gd_gs_1,summer,高峰,高峰,17:00,19:00,1.0361,2024-07-01,2025-12-31,src-gd-001,广东省夏季高峰电价
6,gd,gd_gs_1,summer,平段,平段,08:00,10:00,0.6858,2024-07-01,2025-12-31,src-gd-001,广东省夏季平段电价
7,gd,gd_gs_1,summer,平段,平段,12:00,14:00,0.6858,2024-07-01,2025-12-31,src-gd-001,广东省夏季平段电价
8,gd,gd_gs_1,summer,平段,平段,19:00,22:00,0.6858,2024-07-01,2025-12-31,src-gd-001,广东省夏季平段电价
9,gd,gd_gs_1,summer,低谷,低谷,22:00,24:00,0.3355,2024-07-01,2025-12-31,src-gd-001,广东省夏季低谷电价
10,gd,gd_gs_1,summer,低谷,低谷,00:00,08:00,0.3355,2024-07-01,2025-12-31,src-gd-001,广东省夏季低谷电价（跨日）
11,gd,gd_gs_1,normal,高峰,高峰,10:00,12:00,1.0361,2024-07-01,2025-12-31,src-gd-001,广东省非夏季高峰电价
12,gd,gd_gs_1,normal,高峰,高峰,14:00,19:00,1.0361,2024-07-01,2025-12-31,src-gd-001,广东省非夏季高峰电价
13,gd,gd_gs_1,normal,平段,平段,08:00,10:00,0.6858,2024-07-01,2025-12-31,src-gd-001,广东省非夏季平段电价
14,gd,gd_gs_1,normal,平段,平段,12:00,14:00,0.6858,2024-07-01,2025-12-31,src-gd-001,广东省非夏季平段电价
15,gd,gd_gs_1,normal,平段,平段,19:00,22:00,0.6858,2024-07-01,2025-12-31,src-gd-001,广东省非夏季平段电价
16,gd,gd_gs_1,normal,低谷,低谷,22:00,24:00,0.3355,2024-07-01,2025-12-31,src-gd-001,广东省非夏季低谷电价
17,gd,gd_gs_1,normal,低谷,低谷,00:00,08:00,0.3355,2024-07-01,2025-12-31,src-gd-001,广东省非夏季低谷电价（跨日）
