type_id,type_name,province_id,voltage_level,user_category,notes
gd_gs_1,一般工商业-1-10kV,gd,1-10kV,一般工商业,广东省一般工商业用户 1-10kV 电压等级
gd_dg_1,大工业-1-10kV,gd,1-10kV,大工业,广东省大工业用户 1-10kV 电压等级
js_gs_1,一般工商业-1-10kV,js,1-10kV,一般工商业,江苏省一般工商业用户 1-10kV 电压等级
js_dg_1,大工业-1-10kV,js,1-10kV,大工业,江苏省大工业用户 1-10kV 电压等级
sd_gs_1,一般工商业-1-10kV,sd,1-10kV,一般工商业,山东省一般工商业用户 1-10kV 电压等级
sd_dg_1,大工业-1-10kV,sd,1-10kV,大工业,山东省大工业用户 1-10kV 电压等级
zj_gs_1,一般工商业-1-10kV,zj,1-10kV,一般工商业,浙江省一般工商业用户 1-10kV 电压等级
zj_dg_1,大工业-1-10kV,zj,1-10kV,大工业,浙江省大工业用户 1-10kV 电压等级
nmg_gs_1,一般工商业-1-10kV,nmg,1-10kV,一般工商业,内蒙古一般工商业用户 1-10kV 电压等级
nmg_dg_1,大工业-1-10kV,nmg,1-10kV,大工业,内蒙古大工业用户 1-10kV 电压等级
