id,source_id,entity_type,entity_id
1,1,time_period,1
2,1,time_period,2
3,1,time_period,3
4,1,time_period,4
5,1,time_period,5
6,1,time_period,6
7,1,time_period,7
8,1,time_period,8
9,1,time_period,9
10,1,time_period,10
11,1,time_period,11
12,1,time_period,12
13,1,time_period,13
14,1,time_period,14
15,1,time_period,15
16,1,time_period,16
17,1,time_period,17
18,1,time_period,18
19,3,time_period,19
20,3,time_period,20
21,3,time_period,21
22,3,time_period,22
23,3,time_period,23
24,3,time_period,24
25,3,time_period,25
26,3,time_period,26
27,3,time_period,27
28,3,time_period,28
29,3,time_period,29
30,3,time_period,30
31,3,time_period,31
32,5,time_period,32
33,5,time_period,33
34,5,time_period,34
35,5,time_period,35
36,5,time_period,36
37,5,time_period,37
38,5,time_period,38
39,5,time_period,39
40,5,time_period,40
41,5,time_period,41
42,7,time_period,42
43,7,time_period,43
44,7,time_period,44
45,7,time_period,45
46,7,time_period,46
47,7,time_period,47
48,7,time_period,48
49,7,time_period,49
50,7,time_period,50
51,7,time_period,51
52,7,time_period,52
53,7,time_period,53
54,7,time_period,54
55,7,time_period,55
56,7,time_period,56
57,7,time_period,57
58,7,time_period,58
59,9,time_period,59
60,9,time_period,60
61,9,time_period,61
62,9,time_period,62
63,9,time_period,63
64,9,time_period,64
65,9,time_period,65
