source_name,source_url,publish_authority,publish_date,collect_date,data_type,reliability,remarks
内蒙古电力（集团）有限责任公司2025年代理购电价格公告,https://www.impre.com.cn/,内蒙古电力（集团）有限责任公司,2025-01-20,2025-07-01,价格公告,中,蒙西电网代理购电价格
内蒙古自治区发展改革委关于蒙西电网分时电价政策的通知,https://fgw.nmg.gov.cn/,内蒙古自治区发展和改革委员会,2024-06-15,2025-07-01,政策文件,中,蒙西电网分时电价政策，蒙东地区政策可能不同
国网山东省电力公司2025年代理购电价格公告,https://www.sd.sgcc.com.cn/,国网山东省电力公司,2025-01-10,2025-07-01,价格公告,高,代理购电价格月度公告
国网江苏省电力有限公司2025年代理购电价格公告,https://www.js.sgcc.com.cn/,国网江苏省电力有限公司,2025-01-20,2025-07-01,价格公告,高,代理购电价格表
国网浙江省电力有限公司2025年代理购电价格公告,https://www.zj.sgcc.com.cn/,国网浙江省电力有限公司,2025-01-15,2025-07-01,价格公告,高,代理购电价格月度公告
山东省发展改革委关于完善分时电价政策的通知,https://fgw.shandong.gov.cn/,山东省发展和改革委员会,2024-04-01,2025-07-01,政策文件,高,鲁发改价格〔2024〕XX号
广东电网有限责任公司2025年代理购电价格公告,https://www.gd.csg.cn/,广东电网有限责任公司,2025-01-15,2025-07-01,价格公告,高,每月公布代理购电价格表
广东省发展改革委关于进一步完善我省峰谷分时电价政策有关问题的通知,https://drc.gd.gov.cn/zwgk/zcfg/content/post_XXXXXX.html,广东省发展和改革委员会,2024-06-01,2025-07-01,政策文件,高,粤发改价格〔2024〕XX号，工商业用户分时电价政策
江苏省发展改革委关于进一步完善分时电价政策的通知,https://fzggw.jiangsu.gov.cn/,江苏省发展和改革委员会,2024-03-01,2025-07-01,政策文件,高,苏发改价格发〔2024〕XX号
浙江省发展改革委关于进一步完善我省分时电价政策的通知,https://fzggw.zj.gov.cn/,浙江省发展和改革委员会,2024-05-01,2025-07-01,政策文件,高,浙发改价格〔2024〕XX号
