province,city,district,user_type,voltage_level,season_type,period_name,standard_category,start_time,end_time,price,is_next_day,period_remarks,policy_name,effective_date,policy_desc,source_name,source_url,publish_authority,publish_date,collect_date,reliability,time_period_id,policy_id,region_id
内蒙古,呼和浩特,全市,工商业,1-10kV,不分季节,低谷,谷,00:00,07:00,0.3793,0,,内蒙古蒙西电网分时电价政策,2024-07-01,内蒙古蒙西电网工商业用户分时电价（含电度电价+输配电价）,内蒙古自治区发展改革委关于蒙西电网分时电价政策的通知,https://fgw.nmg.gov.cn/,内蒙古自治区发展和改革委员会,2024-06-15,2025-07-01,中,65,8,6
内蒙古,呼和浩特,全市,工商业,1-10kV,不分季节,平段,平,07:00,08:00,0.6689,0,,内蒙古蒙西电网分时电价政策,2024-07-01,内蒙古蒙西电网工商业用户分时电价（含电度电价+输配电价）,内蒙古自治区发展改革委关于蒙西电网分时电价政策的通知,https://fgw.nmg.gov.cn/,内蒙古自治区发展和改革委员会,2024-06-15,2025-07-01,中,61,8,6
内蒙古,呼和浩特,全市,工商业,1-10kV,不分季节,高峰,峰,08:00,12:00,0.9585,0,,内蒙古蒙西电网分时电价政策,2024-07-01,内蒙古蒙西电网工商业用户分时电价（含电度电价+输配电价）,内蒙古自治区发展改革委关于蒙西电网分时电价政策的通知,https://fgw.nmg.gov.cn/,内蒙古自治区发展和改革委员会,2024-06-15,2025-07-01,中,59,8,6
内蒙古,呼和浩特,全市,工商业,1-10kV,不分季节,平段,平,12:00,17:00,0.6689,0,,内蒙古蒙西电网分时电价政策,2024-07-01,内蒙古蒙西电网工商业用户分时电价（含电度电价+输配电价）,内蒙古自治区发展改革委关于蒙西电网分时电价政策的通知,https://fgw.nmg.gov.cn/,内蒙古自治区发展和改革委员会,2024-06-15,2025-07-01,中,62,8,6
内蒙古,呼和浩特,全市,工商业,1-10kV,不分季节,高峰,峰,17:00,21:00,0.9585,0,,内蒙古蒙西电网分时电价政策,2024-07-01,内蒙古蒙西电网工商业用户分时电价（含电度电价+输配电价）,内蒙古自治区发展改革委关于蒙西电网分时电价政策的通知,https://fgw.nmg.gov.cn/,内蒙古自治区发展和改革委员会,2024-06-15,2025-07-01,中,60,8,6
内蒙古,呼和浩特,全市,工商业,1-10kV,不分季节,平段,平,21:00,23:00,0.6689,0,,内蒙古蒙西电网分时电价政策,2024-07-01,内蒙古蒙西电网工商业用户分时电价（含电度电价+输配电价）,内蒙古自治区发展改革委关于蒙西电网分时电价政策的通知,https://fgw.nmg.gov.cn/,内蒙古自治区发展和改革委员会,2024-06-15,2025-07-01,中,63,8,6
内蒙古,呼和浩特,全市,工商业,1-10kV,不分季节,低谷,谷,23:00,24:00,0.3793,0,,内蒙古蒙西电网分时电价政策,2024-07-01,内蒙古蒙西电网工商业用户分时电价（含电度电价+输配电价）,内蒙古自治区发展改革委关于蒙西电网分时电价政策的通知,https://fgw.nmg.gov.cn/,内蒙古自治区发展和改革委员会,2024-06-15,2025-07-01,中,64,8,6
山东省,济南,全市,工商业,1-10kV,不分季节,低谷,谷,00:00,07:00,0.3776,0,,山东省工商业分时电价政策,2024-05-01,山东省工商业用户（1-10kV）分时电价,山东省发展改革委关于完善分时电价政策的通知,https://fgw.shandong.gov.cn/,山东省发展和改革委员会,2024-04-01,2025-07-01,高,41,5,4
山东省,济南,全市,工商业,1-10kV,不分季节,平段,平,07:00,08:00,0.7124,0,,山东省工商业分时电价政策,2024-05-01,山东省工商业用户（1-10kV）分时电价,山东省发展改革委关于完善分时电价政策的通知,https://fgw.shandong.gov.cn/,山东省发展和改革委员会,2024-04-01,2025-07-01,高,37,5,4
山东省,济南,全市,工商业,1-10kV,不分季节,高峰,峰,08:00,10:00,1.0472,0,,山东省工商业分时电价政策,2024-05-01,山东省工商业用户（1-10kV）分时电价,山东省发展改革委关于完善分时电价政策的通知,https://fgw.shandong.gov.cn/,山东省发展和改革委员会,2024-04-01,2025-07-01,高,34,5,4
山东省,济南,全市,工商业,1-10kV,不分季节,尖峰,尖,10:00,11:00,1.2105,0,,山东省工商业分时电价政策,2024-05-01,山东省工商业用户（1-10kV）分时电价,山东省发展改革委关于完善分时电价政策的通知,https://fgw.shandong.gov.cn/,山东省发展和改革委员会,2024-04-01,2025-07-01,高,32,5,4
山东省,济南,全市,工商业,1-10kV,不分季节,平段,平,11:00,15:00,0.7124,0,,山东省工商业分时电价政策,2024-05-01,山东省工商业用户（1-10kV）分时电价,山东省发展改革委关于完善分时电价政策的通知,https://fgw.shandong.gov.cn/,山东省发展和改革委员会,2024-04-01,2025-07-01,高,38,5,4
山东省,济南,全市,工商业,1-10kV,不分季节,高峰,峰,15:00,16:00,1.0472,0,,山东省工商业分时电价政策,2024-05-01,山东省工商业用户（1-10kV）分时电价,山东省发展改革委关于完善分时电价政策的通知,https://fgw.shandong.gov.cn/,山东省发展和改革委员会,2024-04-01,2025-07-01,高,35,5,4
山东省,济南,全市,工商业,1-10kV,不分季节,尖峰,尖,16:00,17:00,1.2105,0,,山东省工商业分时电价政策,2024-05-01,山东省工商业用户（1-10kV）分时电价,山东省发展改革委关于完善分时电价政策的通知,https://fgw.shandong.gov.cn/,山东省发展和改革委员会,2024-04-01,2025-07-01,高,33,5,4
山东省,济南,全市,工商业,1-10kV,不分季节,高峰,峰,17:00,22:00,1.0472,0,,山东省工商业分时电价政策,2024-05-01,山东省工商业用户（1-10kV）分时电价,山东省发展改革委关于完善分时电价政策的通知,https://fgw.shandong.gov.cn/,山东省发展和改革委员会,2024-04-01,2025-07-01,高,36,5,4
山东省,济南,全市,工商业,1-10kV,不分季节,平段,平,22:00,23:00,0.7124,0,,山东省工商业分时电价政策,2024-05-01,山东省工商业用户（1-10kV）分时电价,山东省发展改革委关于完善分时电价政策的通知,https://fgw.shandong.gov.cn/,山东省发展和改革委员会,2024-04-01,2025-07-01,高,39,5,4
山东省,济南,全市,工商业,1-10kV,不分季节,低谷,谷,23:00,24:00,0.3776,0,,山东省工商业分时电价政策,2024-05-01,山东省工商业用户（1-10kV）分时电价,山东省发展改革委关于完善分时电价政策的通知,https://fgw.shandong.gov.cn/,山东省发展和改革委员会,2024-04-01,2025-07-01,高,40,5,4
广东省,广州,全市,工商业,1-10kV,夏季,低谷,谷,00:00,08:00,0.335,0,,广东省工商业分时电价政策,2024-07-01,广东省工商业用户（1-10kV）夏季分时电价,广东省发展改革委关于进一步完善我省峰谷分时电价政策有关问题的通知,https://drc.gd.gov.cn/zwgk/zcfg/content/post_XXXXXX.html,广东省发展和改革委员会,2024-06-01,2025-07-01,高,9,1,1
广东省,广州,全市,工商业,1-10kV,夏季,平段,平,08:00,10:00,0.6843,0,,广东省工商业分时电价政策,2024-07-01,广东省工商业用户（1-10kV）夏季分时电价,广东省发展改革委关于进一步完善我省峰谷分时电价政策有关问题的通知,https://drc.gd.gov.cn/zwgk/zcfg/content/post_XXXXXX.html,广东省发展和改革委员会,2024-06-01,2025-07-01,高,6,1,1
广东省,广州,全市,工商业,1-10kV,夏季,高峰,峰,10:00,11:00,1.0336,0,,广东省工商业分时电价政策,2024-07-01,广东省工商业用户（1-10kV）夏季分时电价,广东省发展改革委关于进一步完善我省峰谷分时电价政策有关问题的通知,https://drc.gd.gov.cn/zwgk/zcfg/content/post_XXXXXX.html,广东省发展和改革委员会,2024-06-01,2025-07-01,高,3,1,1
广东省,广州,全市,工商业,1-10kV,夏季,尖峰,尖,11:00,12:00,1.1789,0,,广东省工商业分时电价政策,2024-07-01,广东省工商业用户（1-10kV）夏季分时电价,广东省发展改革委关于进一步完善我省峰谷分时电价政策有关问题的通知,https://drc.gd.gov.cn/zwgk/zcfg/content/post_XXXXXX.html,广东省发展和改革委员会,2024-06-01,2025-07-01,高,1,1,1
广东省,广州,全市,工商业,1-10kV,夏季,平段,平,12:00,14:00,0.6843,0,,广东省工商业分时电价政策,2024-07-01,广东省工商业用户（1-10kV）夏季分时电价,广东省发展改革委关于进一步完善我省峰谷分时电价政策有关问题的通知,https://drc.gd.gov.cn/zwgk/zcfg/content/post_XXXXXX.html,广东省发展和改革委员会,2024-06-01,2025-07-01,高,7,1,1
广东省,广州,全市,工商业,1-10kV,夏季,高峰,峰,14:00,15:00,1.0336,0,,广东省工商业分时电价政策,2024-07-01,广东省工商业用户（1-10kV）夏季分时电价,广东省发展改革委关于进一步完善我省峰谷分时电价政策有关问题的通知,https://drc.gd.gov.cn/zwgk/zcfg/content/post_XXXXXX.html,广东省发展和改革委员会,2024-06-01,2025-07-01,高,4,1,1
